Song Name,Singer(s),Mood,Language
Mary On A Cross,Ghost,sad,English
I'm Still Here,Sia,sad,English
Valhalla Calling,Peyton Parrish,sad,English
Empathy,Crystal Castles,sad,English
Die With A Smile,Lady Gaga & Bruno Mars,sad,English
Careless Whisper,George Michael,sad,English
No Longer You,Jorge Rivera-Herrans,sad,English
In The End,Linkin Park,sad,English
Runaway,AURORA,sad,English
Demons,Imagine Dragons,sad,English
As It Was,Harry Styles,sad,English
Until I Found You,Stephen Sanchez,sad,English
Shape Of You,Ed Sheeran,excited,English
Taki Taki,DJ Snake & Selena Gomez & Cardi B,excited,English
Fairytale,Alexander Rybak,excited,English
Bad Boy,Tungevaag & Raaban,excited,English
On My Way,Alan Walker & Sabrina Carpenter,excited,English
Dance Monkey,Tones and I,excited,English
Woman,Doja Cat,excited,English
Harleys In Hawaii,Katy Perry,excited,English
Peaches,Justin Bieber & Giveon,excited,English
Jalebi Baby,Tesher & Jason Derulo,excited,English
Love Nwantiti,Ckay & ElGrande Toto,excited,English
Believer,Imagine Dragons,excited,English
Havana,Camila Cabello & Young Thug,excited,English
Hips Don't Lie,Shakira & Wyclef Jean,excited,English
Cheap Thrills,Sia,excited,English
Toca Toca,Fly Project,excited,English
Bloody Mary,Lady Gaga,excited,English
Stay,Justin Bieber & The Kid LAROI,excited,English
Thunder,Imagine Dragons,excited,English
Unstoppable,Sia,excited,English
Bones,Imagine Dragons,excited,English
Sugar & Brownies,Dharia,excited,English
Bilionera,Otilia Brumă,excited,English
Sweet But Psycho,Ava Max,excited,English
Heat Waves,Glass Animals,excited,English
Dick,StarBoi3 & Doja Cat,excited,English
I'm A Mess,Bebe Rexha,excited,English
Rockabye,Clean Bandit & Sean Paul & Anne-Marie,excited,English
Bad Blood,Taylor Swift & Kendrick Lamar,excited,English
Worth It,Fifth Harmony & Kid Ink,excited,English
Whatever It Takes,Imagine Dragons,excited,English
Shake Ya Boom Boom,Black Eyed Peas & Static & Ben El Tavori,excited,English
Gasolina,Daddy Yankee,excited,English
Wrap Me In Plastic,CHROMANCE & Marcus Layton,excited,English
Play Date,Melanie Matrinez,excited,English
Levitating,Dua Lipa,excited,English
One Kiss,Calvin Harris & Dua Lipa,excited,English
Hate Me,Ellie Goulding & Juice WRLD,excited,English
Shivers,Ed Sheeran,excited,English
Attention,Charlie Puth,excited,English
Kings & Queens,Ava Max,excited,English
The Nights,Avicci,excited,English
Insane,Black Gryph0n & Baasik,excited,English
Notion,The Rare Occasions,excited,English
The Final Countdown,Europe,excited,English
Heart Attack,Demi Lovato,excited,English
FRIENDS,Marshmello & Anne-Marie,excited,English
Friend Like Me,Will Smith,excited,English
Firework,Katy Perry,excited,English
Fight Song,Rachel Platten,excited,English
Everything At Once,Lenka,excited,English
Electric Love,Børns,excited,English
Drag Me Down,One Direction,excited,English
Dear No One,Tori Kelly,excited,English
Can You Feel The Love Tonight,Beyoncé & Billy Eichner & Donald Glover,excited,English
Count On Me,Bruno Mars,excited,English
No Need To Say Goodbye,Regina Spektor,excited,English
Beat It,Michael Jackson,excited,English
Espresso,Sabrina Carpenter,excited,English
Big Dawgs,Hanumankind & Kalmi,excited,English
Yummy,Justin Bieber,excited,English
Astronaut In The Ocean,Masked Wolf,excited,English
Watermelon Sugar,Harry Styles,excited,English
Cover Me In Sunshine,Pink & Willow Sage Hart,excited,English
Titanium,David Guetta & Sia,excited,English
Come And Get Your Love,Redbone,excited,English
Hey Mama,David Guetta & Nicki Minaj & Bebe Rexha & Afrojack,excited,English
Dark Horse,Katy Perry & Juicy J,excited,English
One Dance,Drake & Wizkid & Kyla,excited,English
Dynamite,BTS,excited,English
Butter,BTS,excited,English
Dancing With A Stranger,Normani & Sam Smith,excited,English
One Step At A Time,Jordin Sparks,excited,English
Lean On,DJ Snake & Major Lazer & MØ,excited,English
Point Of View,Zero Venture & Cadence XYZ,excited,English
Dancing With Your Ghost,Sasha Alex Sloan,excited,English
OK Not To Be OK,Marshmello & Demi Lovato,excited,English
Hello World,Alan Walker & Torine,excited,English
I Don't Care,Ed Sheeran & Justin Bieber,excited,English
Ignite,K-391 & Alan Walker & Julie Bergan & Seungri,excited,English
What Makes You Beautiful,One Direction,excited,English
The Spectre,Alan Walker,excited,English
Left And Right,Charlie Puth & Jungkook,excited,English
Darkside,Alan Walker & Au/Ra & Tomine Harket,excited,English
Teenage Dream,Katy Perry,excited,English
Blinding Lights,The Weeknd,excited,English
Bye Bye Bye,NSYNC,excited,English
Let Me Love You,DJ Snake & Justin Bieber,excited,English
Vida La Vida,Coldplay,excited,English
